AverageTime,minimum,maximum,imagesize,vmType,noVMreq,CPUUtilization,MemoryUtilization,NetworkUtil
75.16,75.16,75.16,572.49,3,5,71.8922,8.894941046,96.0209592
107.03,107.03,107.03,894.56,4,2,71.0018,8.090620301,0.0029776
7.29,7.29,7.29,12.7,1,3,99.9896,28.794289,0.0018
6.07,6.07,6.07,12.7,2,4,29.7776,29.39842763,0.0024368
75.22,75.22,75.22,572.49,3,3,98.634,42.52625114,95.5326016
102.67,102.67,102.67,894.56,4,1,75.793,17.91605391,0.0043688
18.0975,15.81,23.06,12.7,1,13,99.9875,35.34269993,0.0018912
11.57,7.42,14.49,12.7,2,9,90.1332,20.35140623,0.0089592
75.515,75.26,75.77,572.49,3,6,91.8258,21.29117469,96.8642888
101.8,101.8,101.8,894.56,4,3,99.9813,42.56628265,0.0063224
7.22,7.22,7.22,12.7,1,3,70.8792,51.31800096,0.0019944
6.18,6.18,6.18,12.7,2,4,99.9916,58.54566802,0.0023672
76.55,76.55,76.55,572.49,3,3,30.5852,6.823956604,97.1093696
108.2,108.2,108.2,894.56,4,1,28.0141,8.060159944,0.0038752
20.7725,17.39,24.63,12.7,1,16,99.9896,57.9157931,0.001768
91.49333333,89.89,93.87,572.49,3,9,98.0779,64.47901594,96.4419776
106.71,106.71,106.71,894.56,4,1,88.8421,18.60458593,0.0082384
28.61666667,8.41,66.89,12.7,1,9,25.2042,9.349632003,0.001752
11.88666667,10.35,13.5,12.7,2,10,99.773,67.95464605,0.0035912
84.15,83.58,84.72,572.49,3,6,97.187,69.90403511,94.0291976
103.45,103.45,103.45,894.56,4,4,100.1875,65.25796946,0.0060824
10.945,9.56,12.33,12.7,1,7,71.4397,19.24029211,0.001912
13.43333333,11.5,15.16,12.7,2,12,99.8917,20.51244261,0.0024232
79.54,79.54,79.54,572.49,3,4,30.0586,8.275080155,96.3674632
102.68,102.68,102.68,894.56,4,1,28.0987,8.103168591,0.0041624
15.87,13.63,18.09,12.7,1,18,37.6142,9.441677396,0.0018232
16.52666667,13.56,19.16,12.7,2,14,14.2057,9.146891014,0.0114488
86.29666667,85.65,86.98,572.49,3,9,93.0921,37.53203197,97.2351768
104.84,104.84,104.84,894.56,4,1,99.9667,47.95582215,0.0059368
8.55,7.26,9.84,12.7,1,7,62.72,12.73934324,0.0018608
12.32666667,11.41,13.35,12.7,2,11,100.2062,42.16781295,0.0028704
102.04,102.04,102.04,894.56,4,3,99.9917,45.08093524,0.0018496
13.03,5.74,17.08,12.7,1,13,99.9917,41.79475969,0.0018344
16.31,16,16.71,12.7,2,13,28.8948,8.027903459,0.0081872
105.39,105.39,105.39,894.56,4,4,99.9854,38.01981596,0.0077224
10.54,10.54,10.54,12.7,1,2,37.716,12.67510092,0.0018064
12.34,9.34,14.19,12.7,2,11,100.0371,51.57135339,0.0024376
77.41,77.41,77.41,572.49,3,7,96.7229,73.0627102,95.8764512
100.55,100.55,100.55,894.56,4,1,99.9895,66.5829704,0.0042152
7.52,7.52,7.52,12.7,1,4,71.9889,22.47927625,0.001836
8.48,7.65,9.31,12.7,2,7,99.9105,23.10897894,0.0023232
85.78666667,85.38,86.17,572.49,3,10,28.6685,7.662576006,95.3909136
107.29,107.29,107.29,894.56,4,2,29.7612,12.08491304,0.008064
14.53,8.03,19.13,12.7,1,15,99.9917,19.24282638,0.0018944
7.92,7.92,7.92,12.7,1,3,99.9917,15.92355779,0.0019176
5.98,5.98,5.98,12.7,2,1,99.8501,26.28576293,0.0023592
84.955,84.39,85.52,572.49,3,9,98.0989,26.40413513,95.0414976
103.55,103.55,103.55,894.56,4,3,99.9875,39.51992705,0.0062928
15.825,14.4,17.6,12.7,1,13,72.1206,29.82484802,0.00192
6.885,6.45,7.32,12.7,2,8,99.5128,66.83866025,0.0088704
87.325,86.72,87.93,572.49,3,7,30.3564,7.636864315,96.00238
106.35,106.35,106.35,894.56,4,3,28.0945,10.11264181,0.005796
16.4125,14.91,17.99,12.7,1,13,99.9916,29.00997195,0.0018072
9.4,9.4,9.4,12.7,2,7,27.4039,8.587015867,0.0075216
79.17,79.17,79.17,572.49,3,4,98.176,45.90230689,96.838356
108.05,108.05,108.05,894.56,4,4,100.1897,50.52462922,0.00428
12.66,7.6,16.6,12.7,1,15,99.9896,41.87890704,0.001788
8.495,6.32,10.67,12.7,2,8,66.2973,11.96870604,0.011052
72.9,72.9,72.9,572.49,3,2,67.599,11.02468101,97.6559008
102.67,102.67,102.67,894.56,4,1,99.9896,18.03971607,0.003996
16.46,13.89,19.64,12.7,1,16,75.2168,46.65124293,0.0020208
6.4,6.4,6.4,12.7,2,1,99.6772,50.8983468,0.01004
102.0266667,100.52,103.88,572.49,3,9,27.4944,6.996507885,96.0137408
117.565,117.52,117.61,894.56,4,5,29.4558,12.14472656,0.008244
7.27,7.27,7.27,12.7,1,1,99.9334,63.94256427,0.0019968
10.94666667,8.41,14.47,12.7,2,11,27.4463,65.21884832,0.002324
